sample	total_reads	mapped_reads	mapped_percent	properly_paired	properly_paired_percent	top_target	top_target_mapped_reads
BLAN-1-1-No	3142607	1802126	57.34	1664930	53.05	nifK|NC_017249|NC_017249_-_Symbiosis_Island|ref76	219289
BLAN-1-1-Rh	446933	269874	60.38	248124	55.63	nifK|NC_017249|NC_017249_-_Symbiosis_Island|ref76	26325
BLAN-1-1-Ro	67979	38309	56.35	35078	51.99	nodQ|NC_019848|NC_019848_-_Symbiosis_Island_4|ref217	3221
BLAN-2-1-No	5565249	3213301	57.74	3014362	54.25	nifK|NC_017249|NC_017249_-_Symbiosis_Island|ref76	379989
BLAN-2-1-Rh	375327	177708	47.35	160620	43.24	nifU|NC_002678|NC_002678_-_NifU_family_protein_CDS|ref111	34436
BLAN-2-1-Ro	338731	194491	57.42	183440	54.49	nodQ|NC_019848|NC_019848_-_Symbiosis_Island_4|ref217	31496
BLAN-3-1-No	13890278	12036448	86.65	11297774	82.13	nifB|NC_012848|NC_012848_-_Symbiosis_Island|ref18	1454591
BLAN-3-1-Rh	117700	64875	55.12	58632	49.98	nodQ|NC_019848|NC_019848_-_Symbiosis_Island_4|ref217	9360
BLAN-3-1-Ro	1791682	1605186	89.59	1532988	86.39	nifB|NC_012848|NC_012848_-_Symbiosis_Island|ref18	190243
BLAN-4-1-No	673929	620536	92.08	563216	84.02	nifD|NC_008278|NC_008278_-_Symbiosis_Island|ref28	111789
BLAN-4-1-Rh	111812	58442	52.27	50128	45.02	nodQ|NC_019848|NC_019848_-_Symbiosis_Island_4|ref217	7445
BLAN-4-1-Ro	91473	49588	54.21	44230	48.73	nodQ|NC_019848|NC_019848_-_Symbiosis_Island_4|ref217	9105
